ticket_id,milestone,title,status,dependencies,files,definition_of_done
M1-011,M1,Transition Registry Runtime,ACCEPTED,M1-010,src/kernel/transitions/transition_registry.py,code_or_artifact_complete;required_tests_pass;contract_references_present;dependencies_accepted;pass_criteria_satisfied
M1-012,M1,Guard Runtime,ACCEPTED,M1-011,src/kernel/guards/guard_runner.py,code_or_artifact_complete;required_tests_pass;contract_references_present;dependencies_accepted;pass_criteria_satisfied
M1-013,M1,State Adapter Framework,ACCEPTED,M1-012,src/kernel/state/state_adapter.py,code_or_artifact_complete;required_tests_pass;contract_references_present;dependencies_accepted;pass_criteria_satisfied
M1-014,M1,Transition Engine,ACCEPTED,M1-013,src/kernel/transitions/transition_engine.py,code_or_artifact_complete;required_tests_pass;contract_references_present;dependencies_accepted;pass_criteria_satisfied
M1-015,M1,Database Roles & Grants,ACCEPTED,M1-014,database/migrations/0140_database_roles.sql;database/migrations/0141_database_grants.sql,code_or_artifact_complete;required_tests_pass;contract_references_present;dependencies_accepted;pass_criteria_satisfied
M1-016,M1,Kernel Certification Suite,ACCEPTED,M1-015,tests/e2e/kernel/test_full_transition.py,code_or_artifact_complete;required_tests_pass;contract_references_present;dependencies_accepted;pass_criteria_satisfied
M2-001,M2,Governed-State Read Contract,ACCEPTED,M1-016,,code_or_artifact_complete;required_tests_pass;contract_references_present;dependencies_accepted;pass_criteria_satisfied
M2-002,M2,Snapshot Persistence Completion,ACCEPTED,M2-001,,code_or_artifact_complete;required_tests_pass;contract_references_present;dependencies_accepted;pass_criteria_satisfied
M2-003,M2,Snapshot Requirement Registry,ACCEPTED,M2-002,,code_or_artifact_complete;required_tests_pass;contract_references_present;dependencies_accepted;pass_criteria_satisfied
M2-004,M2,Snapshot Requirement Engine,ACCEPTED,M2-003,,code_or_artifact_complete;required_tests_pass;contract_references_present;dependencies_accepted;pass_criteria_satisfied
M2-005,M2,Finding Freezer,ACCEPTED,M2-004,,code_or_artifact_complete;required_tests_pass;contract_references_present;dependencies_accepted;pass_criteria_satisfied
M2-006,M2,Passport Reference Capture,ACCEPTED,M2-005,,code_or_artifact_complete;required_tests_pass;contract_references_present;dependencies_accepted;pass_criteria_satisfied
M2-007,M2,Finding Fingerprint Engine,ACCEPTED,M2-006,,code_or_artifact_complete;required_tests_pass;contract_references_present;dependencies_accepted;pass_criteria_satisfied
M2-008,M2,Snapshot & Variant Fingerprints,ACCEPTED,M2-007,,code_or_artifact_complete;required_tests_pass;contract_references_present;dependencies_accepted;pass_criteria_satisfied
M2-009,M2,Snapshot Deduplication,ACCEPTED,M2-008,,code_or_artifact_complete;required_tests_pass;contract_references_present;dependencies_accepted;pass_criteria_satisfied
M2-010,M2,Dependency Manifest Builder,ACCEPTED,M2-009,,code_or_artifact_complete;required_tests_pass;contract_references_present;dependencies_accepted;pass_criteria_satisfied
M2-011,M2,Snapshot Creation Service,ACCEPTED,M2-010,,code_or_artifact_complete;required_tests_pass;contract_references_present;dependencies_accepted;pass_criteria_satisfied
M2-012,M2,Snapshot Diff Engine,ACCEPTED,M2-011,,code_or_artifact_complete;required_tests_pass;contract_references_present;dependencies_accepted;pass_criteria_satisfied
M2-013,M2,Current Snapshot Read Model,ACCEPTED,M2-012,,code_or_artifact_complete;required_tests_pass;contract_references_present;dependencies_accepted;pass_criteria_satisfied
M2-014,M2,Dependency Impact Rule Registry,ACCEPTED,M2-013,,code_or_artifact_complete;required_tests_pass;contract_references_present;dependencies_accepted;pass_criteria_satisfied
M2-015,M2,Dependency Reverse Lookup,ACCEPTED,M2-014,,code_or_artifact_complete;required_tests_pass;contract_references_present;dependencies_accepted;pass_criteria_satisfied
M2-016,M2,Single-Change Impact Evaluator,ACCEPTED,M2-015,,code_or_artifact_complete;required_tests_pass;contract_references_present;dependencies_accepted;pass_criteria_satisfied
M2-017,M2,Impact Persistence,ACCEPTED,M2-016,,code_or_artifact_complete;required_tests_pass;contract_references_present;dependencies_accepted;pass_criteria_satisfied
M2-018,M2,Bulk Dependency Change Batches,ACCEPTED,M2-017,database/migrations/0190_dependency_change_batches.sql;database/migrations/0191_dependency_change_items.sql;src/dependency/batch/models.py;src/dependency/batch/repository.py,code_or_artifact_complete;required_tests_pass;contract_references_present;dependencies_accepted;pass_criteria_satisfied
M2-019,M2,Bulk Impact Evaluator,ACCEPTED,M2-018,src/dependency/batch/evaluator.py;workers/dependency_batch_worker/worker.py,code_or_artifact_complete;required_tests_pass;contract_references_present;dependencies_accepted;pass_criteria_satisfied
M2-020,M2,Block / Invalidation Escalation,ACCEPTED,M2-019,database/migrations/0104_operations_review_items.sql;src/dependency/escalation/service.py,code_or_artifact_complete;required_tests_pass;contract_references_present;dependencies_accepted;pass_criteria_satisfied
M2-021,M2,Milestone 2 Certification Suite,ACCEPTED,M2-020,tests/e2e/milestone2/test_milestone2_certification.py;tests/unit/dependency/test_bulk_batch_repository.py;tests/unit/dependency/test_bulk_impact_evaluator.py;tests/unit/dependency/test_escalation.py,code_or_artifact_complete;required_tests_pass;contract_references_present;dependencies_accepted;pass_criteria_satisfied
M3-001,M3,Regeneration Job Persistence Completion,ACCEPTED,M2-021,database/migrations/0060_regeneration_jobs.sql;database/migrations/0061_job_indexes.sql;database/migrations/0062_regeneration_job_extensions.sql;src/regeneration/repository/models.py;src/regeneration/repository/job_repository.py;tests/unit/regeneration/test_job_persistence.py;tests/unit/regeneration/test_regeneration_migrations.py,code_or_artifact_complete;required_tests_pass;contract_references_present;dependencies_accepted;pass_criteria_satisfied
M3-002,M3,Regeneration Priority Registry,ACCEPTED,M3-001,registries/regeneration/priorities.yaml;schemas/regeneration/priority-rule.schema.json;src/regeneration/priority/registry.py;src/regeneration/priority/resolver.py;tests/unit/regeneration/test_priority.py,code_or_artifact_complete;required_tests_pass;contract_references_present;dependencies_accepted;pass_criteria_satisfied
M3-003,M3,Job Target Key Engine,ACCEPTED,M3-002,src/regeneration/target/target_key.py;tests/unit/regeneration/test_target_key.py,code_or_artifact_complete;required_tests_pass;contract_references_present;dependencies_accepted;pass_criteria_satisfied
M3-004,M3,Regeneration Queue Service,ACCEPTED,M3-003,,code_or_artifact_complete;required_tests_pass;contract_references_present;dependencies_accepted;pass_criteria_satisfied
M3-005,M3,Worker Claim / Lease / Heartbeat,ACCEPTED,M3-004,,code_or_artifact_complete;required_tests_pass;contract_references_present;dependencies_accepted;pass_criteria_satisfied
M3-006,M3,Retry Classification & Recovery,ACCEPTED,M3-005,,code_or_artifact_complete;required_tests_pass;contract_references_present;dependencies_accepted;pass_criteria_satisfied
M3-007,M3,Variant-Specific Job Freshness,ACCEPTED,M3-006,,code_or_artifact_complete;required_tests_pass;contract_references_present;dependencies_accepted;pass_criteria_satisfied
M3-008,M3,Report Persistence Completion,ACCEPTED,M3-007,,code_or_artifact_complete;required_tests_pass;contract_references_present;dependencies_accepted;pass_criteria_satisfied
M3-009,M3,Report Version Counter,ACCEPTED,M3-008,,code_or_artifact_complete;required_tests_pass;contract_references_present;dependencies_accepted;pass_criteria_satisfied
M3-010,M3,Canonical Report Schema,ACCEPTED,M3-009,schemas/reports/canonical-report.schema.json;schemas/reports/report-metadata.schema.json;schemas/reports/report-section.schema.json;schemas/reports/report-card.schema.json;schemas/reports/report-finding.schema.json;schemas/reports/evidence-disclosure.schema.json;schemas/reports/glossary-entry.schema.json;schemas/reports/media-slot.schema.json;schemas/reports/diagram-slot.schema.json;src/report_builder/schema/canonical_report.py;tests/unit/report_builder/test_canonical_report_schema.py,code_or_artifact_complete;required_tests_pass;contract_references_present;dependencies_accepted;pass_criteria_satisfied
M3-011,M3,Variant Policy Registry,ACCEPTED,M3-010,schemas/reports/report-variant-policy.schema.json;registries/report-variants/agent.yaml;registries/report-variants/seller.yaml;registries/report-variants/public.yaml;src/report_builder/variant/registry.py;tests/unit/report_builder/test_variant_policy_registry.py,code_or_artifact_complete;required_tests_pass;contract_references_present;dependencies_accepted;pass_criteria_satisfied
M3-012,M3,Report Section Registry,ACCEPTED,M3-011,schemas/reports/report-section-registry.schema.json;registries/report-sections/sections.yaml;src/report_builder/sections/registry.py;tests/unit/report_builder/test_section_registry.py,code_or_artifact_complete;required_tests_pass;contract_references_present;dependencies_accepted;pass_criteria_satisfied
M3-013,M3,Finding Selection Engine,ACCEPTED,M3-012,src/report_builder/findings/selector.py;src/report_builder/findings/__init__.py;tests/unit/report_builder/test_finding_selector.py,code_or_artifact_complete;required_tests_pass;contract_references_present;dependencies_accepted;pass_criteria_satisfied
M3-014,M3,Approved Wording Resolver,ACCEPTED,M3-013,src/report_builder/wording/resolver.py;src/report_builder/wording/__init__.py;tests/unit/report_builder/test_wording_resolver.py,code_or_artifact_complete;required_tests_pass;contract_references_present;dependencies_accepted;pass_criteria_satisfied
M3-015,M3,Friendly Label Resolver,ACCEPTED,M3-014,registries/friendly-labels/friendly-labels-v1.0.yaml;src/report_builder/labels/resolver.py;src/report_builder/labels/__init__.py;tests/unit/report_builder/test_friendly_labels.py,code_or_artifact_complete;required_tests_pass;contract_references_present;dependencies_accepted;pass_criteria_satisfied
M3-016,M3,Glossary Resolver,ACCEPTED,M3-015,registries/glossary/glossary-v1.0.yaml;src/report_builder/glossary/resolver.py;src/report_builder/glossary/__init__.py;tests/unit/report_builder/test_glossary_resolver.py,code_or_artifact_complete;required_tests_pass;contract_references_present;dependencies_accepted;pass_criteria_satisfied
M3-017,M3,Report Dependency Manifest Builder,ACCEPTED,M3-016,,code_or_artifact_complete;required_tests_pass;contract_references_present;dependencies_accepted;pass_criteria_satisfied
M3-018,M3,Report Input Hash Engine,ACCEPTED,M3-017,,code_or_artifact_complete;required_tests_pass;contract_references_present;dependencies_accepted;pass_criteria_satisfied
M3-019,M3,Canonical Payload Builder,ACCEPTED,M3-018,,code_or_artifact_complete;required_tests_pass;contract_references_present;dependencies_accepted;pass_criteria_satisfied
M3-020,M3,Canonical Payload Hashing,ACCEPTED,M3-019,src/report_builder/hashing/canonical_payload_hash.py;src/report_builder/hashing/__init__.py;tests/unit/report_builder/test_canonical_payload_hash.py,code_or_artifact_complete;required_tests_pass;contract_references_present;dependencies_accepted;pass_criteria_satisfied
M3-021,M3,Report Deduplication,ACCEPTED,M3-020,src/report_builder/deduplication/engine.py;src/report_builder/deduplication/__init__.py;tests/unit/report_builder/test_report_deduplication.py,code_or_artifact_complete;required_tests_pass;contract_references_present;dependencies_accepted;pass_criteria_satisfied
M3-022,M3,Version Allocation & Persistence,ACCEPTED,M3-021,src/report_builder/persistence/service.py;src/report_builder/persistence/__init__.py;src/report_builder/repository/models.py;src/report_builder/repository/report_repository.py;database/migrations/0034_report_dependency_source_scope.sql;tests/unit/report_builder/test_report_persistence_service.py;tests/unit/report_builder/test_report_persistence_m3_022_migration.py,code_or_artifact_complete;required_tests_pass;contract_references_present;dependencies_accepted;pass_criteria_satisfied
M3-023,M3,Report Validation Engine,ACCEPTED,M3-022,src/report_builder/validation/engine.py;src/report_builder/validation/__init__.py;tests/unit/report_builder/test_report_validation_engine.py,code_or_artifact_complete;required_tests_pass;contract_references_present;dependencies_accepted;pass_criteria_satisfied
M3-024,M3,READY Immutability,ACCEPTED,M3-023,database/migrations/0035_ready_semantic_immutability.sql;tests/unit/report_builder/test_ready_immutability.py;docs/implementation/M3-024.md,code_or_artifact_complete;required_tests_pass;contract_references_present;dependencies_accepted;pass_criteria_satisfied
M3-025,M3,Report Semantic Diff Engine,ACCEPTED,M3-024,src/report_builder/diff/engine.py;src/report_builder/diff/persistence.py;src/report_builder/diff/__init__.py;src/report_builder/repository/report_repository.py;tests/unit/report_builder/test_report_semantic_diff.py;docs/implementation/M3-025.md,code_or_artifact_complete;required_tests_pass;contract_references_present;dependencies_accepted;pass_criteria_satisfied
M3-026,M3,Regeneration Worker Integration,ACCEPTED,M3-025,workers/regeneration_worker/worker.py;workers/regeneration_worker/__init__.py;src/regeneration/repository/job_repository.py;tests/unit/regeneration/test_worker_integration.py;docs/implementation/M3-026.md,code_or_artifact_complete;required_tests_pass;contract_references_present;dependencies_accepted;pass_criteria_satisfied
M3-027,M3,Milestone 3 Certification Suite,ACCEPTED,M3-026,tests/certification/m3/test_milestone3_certification.py;docs/implementation/M3-027.md,code_or_artifact_complete;required_tests_pass;contract_references_present;dependencies_accepted;pass_criteria_satisfied
M4-001,M4,Render Persistence Completion,ACCEPTED,M3-027,database/migrations/0040_render_tables.sql;database/migrations/0041_render_indexes.sql;src/renderer/repository/models.py;src/renderer/repository/render_repository.py;tests/unit/renderer/test_render_persistence.py;tests/persistence/test_render_schema_persistence.py;docs/implementation/M4-001.md,code_or_artifact_complete;required_tests_pass;contract_references_present;dependencies_accepted;pass_criteria_satisfied
M4-002,M4,Render Version Counters,ACCEPTED,M4-001,database/migrations/0042_render_version_counters.sql;src/renderer/versioning/allocator.py;src/renderer/versioning/__init__.py;tests/unit/renderer/test_render_version_allocator.py;tests/persistence/test_render_version_counter_schema.py;docs/implementation/M4-002.md,code_or_artifact_complete;required_tests_pass;contract_references_present;dependencies_accepted;pass_criteria_satisfied
M4-003,M4,Render Contract Registry,ACCEPTED,M4-002,registries/render-contracts/render-contracts-v1.0.yaml;src/renderer/contracts/registry.py;src/renderer/contracts/__init__.py;tests/unit/renderer/test_render_contract_registry.py;docs/implementation/M4-003.md,code_or_artifact_complete;required_tests_pass;contract_references_present;dependencies_accepted;pass_criteria_satisfied
M4-004,M4,Presentation Input Hash Engine,ACCEPTED,M4-003,src/renderer/hashing/presentation_input_hash.py;src/renderer/hashing/__init__.py;tests/unit/renderer/test_presentation_input_hash.py;docs/implementation/M4-004.md,code_or_artifact_complete;required_tests_pass;contract_references_present;dependencies_accepted;pass_criteria_satisfied
M4-005,M4,Media Slot Binding,ACCEPTED,M4-004,registries/media/media-policy-v1.0.yaml;schemas/rendering/media-asset.schema.json;src/renderer/media/binder.py;src/renderer/media/__init__.py;tests/unit/renderer/test_media_slot_binding.py;docs/implementation/M4-005.md,code_or_artifact_complete;required_tests_pass;contract_references_present;dependencies_accepted;pass_criteria_satisfied
M4-006,M4,Diagram Slot Binding,ACCEPTED,M4-005,registries/diagrams/diagram-policy-v1.0.yaml;schemas/rendering/diagram-asset.schema.json;src/renderer/diagrams/binder.py;src/renderer/diagrams/__init__.py;tests/unit/renderer/test_diagram_slot_binding.py;docs/implementation/M4-006.md,code_or_artifact_complete;required_tests_pass;contract_references_present;dependencies_accepted;pass_criteria_satisfied
M4-007,M4,Render Request Service,ACCEPTED,M4-006,src/renderer/requests/service.py;src/renderer/requests/__init__.py;tests/unit/renderer/test_render_request_service.py;docs/implementation/M4-007.md,code_or_artifact_complete;required_tests_pass;contract_references_present;dependencies_accepted;pass_criteria_satisfied
M4-008,M4,WEB Render Adapter,ACCEPTED,M4-007,src/renderer/adapters/common.py;src/renderer/adapters/web.py;src/renderer/adapters/__init__.py;tests/unit/renderer/test_web_render_adapter.py;docs/implementation/M4-008.md,code_or_artifact_complete;required_tests_pass;contract_references_present;dependencies_accepted;pass_criteria_satisfied
M4-009,M4,PDF Render Adapter,ACCEPTED,M4-008,src/renderer/adapters/pdf.py;tests/unit/renderer/test_pdf_render_adapter.py;docs/implementation/M4-009.md,code_or_artifact_complete;required_tests_pass;contract_references_present;dependencies_accepted;pass_criteria_satisfied
M4-010,M4,PRINT Render Adapter,ACCEPTED,M4-009,src/renderer/adapters/print.py;tests/unit/renderer/test_print_render_adapter.py;docs/implementation/M4-010.md,code_or_artifact_complete;required_tests_pass;contract_references_present;dependencies_accepted;pass_criteria_satisfied
M4-011,M4,Render Deduplication,ACCEPTED,M4-010,src/renderer/deduplication/engine.py;src/renderer/deduplication/__init__.py;tests/unit/renderer/test_render_deduplication.py;docs/implementation/M4-011.md,code_or_artifact_complete;required_tests_pass;contract_references_present;dependencies_accepted;pass_criteria_satisfied
M4-012,M4,Render Validation,ACCEPTED,M4-011,src/renderer/validation/engine.py;tests/unit/renderer/test_render_validation.py;database/migrations/0044_render_integrity_constraints.sql,code_or_artifact_complete;required_tests_pass;contract_references_present;dependencies_accepted;pass_criteria_satisfied
M4-013,M4,Render Artifact Immutability,ACCEPTED,M4-012,database/migrations/0043_render_ready_immutability.sql;tests/persistence/test_render_immutability_schema.py,code_or_artifact_complete;required_tests_pass;contract_references_present;dependencies_accepted;pass_criteria_satisfied
M4-014,M4,Storage Integrity,ACCEPTED,M4-013,src/renderer/storage/integrity.py;tests/unit/renderer/test_storage_integrity.py;database/migrations/0044_render_integrity_constraints.sql,code_or_artifact_complete;required_tests_pass;contract_references_present;dependencies_accepted;pass_criteria_satisfied
M4-015,M4,Publication Persistence Completion,ACCEPTED,M4-014,database/migrations/0045_publication_persistence.sql;database/migrations/0046_publication_history_immutability.sql;src/publication/repository/publication_repository.py;tests/persistence/test_publication_persistence_schema.py,code_or_artifact_complete;required_tests_pass;contract_references_present;dependencies_accepted;pass_criteria_satisfied
M4-016,M4,Current Semantic Report Model,ACCEPTED,M4-015,src/publication/current/model.py;tests/unit/publication/test_publication_pointer_models.py,code_or_artifact_complete;required_tests_pass;contract_references_present;dependencies_accepted;pass_criteria_satisfied
M4-017,M4,Publication Channel Pointer Model,ACCEPTED,M4-016,src/publication/channels/model.py;tests/unit/publication/test_publication_pointer_models.py,code_or_artifact_complete;required_tests_pass;contract_references_present;dependencies_accepted;pass_criteria_satisfied
M4-018,M4,Publication Staging,ACCEPTED,M4-017,database/migrations/0047_publication_staging.sql;src/publication/staging/models.py;src/publication/staging/repository.py;tests/unit/publication/test_publication_staging.py;tests/persistence/test_publication_staging_schema.py;docs/implementation/M4-018.md,code_or_artifact_complete;required_tests_pass;contract_references_present;dependencies_accepted;pass_criteria_satisfied
M4-019,M4,Publication Guard Engine,ACCEPTED,M4-018,src/publication/guards/engine.py;tests/unit/publication/test_publication_guard_engine.py;docs/implementation/M4-019.md,code_or_artifact_complete;required_tests_pass;contract_references_present;dependencies_accepted;pass_criteria_satisfied
M4-020,M4,Pre-Publication Variant Freshness,ACCEPTED,M4-019,src/publication/freshness/checker.py;tests/unit/publication/test_prepublication_freshness.py;docs/implementation/M4-020.md,code_or_artifact_complete;required_tests_pass;contract_references_present;dependencies_accepted;pass_criteria_satisfied
M4-021,M4,Atomic Publication Service,ACCEPTED,M4-020,src/publication/service/atomic_publish.py;src/publication/repository/publication_repository.py;src/publication/repository/models.py;tests/unit/publication/test_atomic_publication_service.py;docs/implementation/M4-021.md,code_or_artifact_complete;required_tests_pass;contract_references_present;dependencies_accepted;pass_criteria_satisfied
M4-022,M4,Supersession & Publication History,ACCEPTED,M4-021,src/publication/history/service.py;src/publication/repository/publication_repository.py,code_or_artifact_complete;required_tests_pass;contract_references_present;dependencies_accepted;pass_criteria_satisfied
M4-023,M4,Presentation-Only Render Promotion,ACCEPTED,M4-022,src/publication/lifecycle/service.py,code_or_artifact_complete;required_tests_pass;contract_references_present;dependencies_accepted;pass_criteria_satisfied
M4-024,M4,Unpublish,ACCEPTED,M4-023,src/publication/lifecycle/service.py,code_or_artifact_complete;required_tests_pass;contract_references_present;dependencies_accepted;pass_criteria_satisfied
M4-025,M4,Republish,ACCEPTED,M4-024,src/publication/lifecycle/service.py,code_or_artifact_complete;required_tests_pass;contract_references_present;dependencies_accepted;pass_criteria_satisfied
M4-026,M4,Rollback,ACCEPTED,M4-025,src/publication/lifecycle/service.py,code_or_artifact_complete;required_tests_pass;contract_references_present;dependencies_accepted;pass_criteria_satisfied
M4-027,M4,Invalidation,ACCEPTED,M4-026,src/publication/lifecycle/service.py,code_or_artifact_complete;required_tests_pass;contract_references_present;dependencies_accepted;pass_criteria_satisfied
M4-028,M4,Withdrawal,ACCEPTED,M4-027,src/publication/lifecycle/service.py,code_or_artifact_complete;required_tests_pass;contract_references_present;dependencies_accepted;pass_criteria_satisfied
M4-029,M4,Publication Freeze Controls,ACCEPTED,M4-028,src/publication/freeze/repository.py;database/migrations/0048_publication_lifecycle.sql,code_or_artifact_complete;required_tests_pass;contract_references_present;dependencies_accepted;pass_criteria_satisfied
M4-030,M4,Stable Delivery Routing Contract,ACCEPTED,M4-029,registries/publication/delivery-routing.yaml;src/publication/routing/resolver.py,code_or_artifact_complete;required_tests_pass;contract_references_present;dependencies_accepted;pass_criteria_satisfied
M4-031,M4,Cache Invalidation Events,ACCEPTED,M4-030,src/publication/cache/events.py;registries/events/events.yaml;database/migrations/0165_reference_seed_data.sql,code_or_artifact_complete;required_tests_pass;contract_references_present;dependencies_accepted;pass_criteria_satisfied
M4-032,M4,Milestone 4 Certification Suite,ACCEPTED,M4-031,tests/certification/test_m4_publication_certification.py,code_or_artifact_complete;required_tests_pass;contract_references_present;dependencies_accepted;pass_criteria_satisfied
M5-001,M5,Release Persistence Completion,ACCEPTED,M4-032,database/migrations/0080_release_persistence.sql;src/release/repository/models.py;src/release/repository/release_repository.py;src/release/repository/__init__.py;tests/persistence/test_release_persistence_schema.py;tests/unit/release/test_release_repository.py;docs/implementation/M5-001.md,code_or_artifact_complete;required_tests_pass;contract_references_present;dependencies_accepted;pass_criteria_satisfied
M5-002,M5,Release Policy Registry,ACCEPTED,M5-001,registries/releases/release-policy-v1.0.yaml;src/release/policy/registry.py;src/release/policy/__init__.py;tests/unit/release/test_release_policy_registry.py;docs/implementation/M5-002.md,code_or_artifact_complete;required_tests_pass;contract_references_present;dependencies_accepted;pass_criteria_satisfied
M5-003,M5,Deterministic Membership Resolver,ACCEPTED,M5-002,src/release/membership/resolver.py;src/release/membership/__init__.py;tests/unit/release/test_membership_resolver.py;docs/implementation/M5-003.md,code_or_artifact_complete;required_tests_pass;contract_references_present;dependencies_accepted;pass_criteria_satisfied
M5-004,M5,Release Manifest Freezer,ACCEPTED,M5-003,src/release/manifest/freezer.py;src/release/manifest/__init__.py;database/migrations/0081_release_manifest_immutability.sql;tests/unit/release/test_manifest_freezer.py;tests/persistence/test_release_manifest_immutability.py;docs/implementation/M5-004.md,code_or_artifact_complete;required_tests_pass;contract_references_present;dependencies_accepted;pass_criteria_satisfied
M5-005,M5,Release Item Lifecycle,ACCEPTED,M5-004,src/release/lifecycle/service.py;database/migrations/0082_release_execution_control.sql;tests/unit/release/test_release_execution.py,code_or_artifact_complete;required_tests_pass;contract_references_present;dependencies_accepted;pass_criteria_satisfied
M5-006,M5,Bulk Generation Coordinator,ACCEPTED,M5-005,src/release/generation/coordinator.py;tests/unit/release/test_bulk_generation_coordinator.py,code_or_artifact_complete;required_tests_pass;contract_references_present;dependencies_accepted;pass_criteria_satisfied
M5-007,M5,Release Validation,ACCEPTED,M5-006,src/release/validation/engine.py;database/migrations/0082_release_execution_control.sql;tests/unit/release/test_release_execution.py,code_or_artifact_complete;required_tests_pass;contract_references_present;dependencies_accepted;pass_criteria_satisfied
M5-008,M5,Release Staging,ACCEPTED,M5-007,src/release/staging/service.py;tests/unit/release/test_release_execution.py,code_or_artifact_complete;required_tests_pass;contract_references_present;dependencies_accepted;pass_criteria_satisfied
M5-009,M5,Release Approval,ACCEPTED,M5-008,src/release/approval/service.py;database/migrations/0082_release_execution_control.sql;tests/unit/release/test_release_execution.py,code_or_artifact_complete;required_tests_pass;contract_references_present;dependencies_accepted;pass_criteria_satisfied
M5-010,M5,Chunked Publication,ACCEPTED,M5-009,src/release/rollout/service.py;tests/unit/release/test_release_execution.py,code_or_artifact_complete;required_tests_pass;contract_references_present;dependencies_accepted;pass_criteria_satisfied
M5-011,M5,Partial-Failure Policy Engine,ACCEPTED,M5-010,src/release/rollout/service.py;tests/unit/release/test_release_execution.py,code_or_artifact_complete;required_tests_pass;contract_references_present;dependencies_accepted;pass_criteria_satisfied
M5-012,M5,Release Reconciliation,ACCEPTED,M5-011,src/release/reconciliation/service.py;tests/unit/release/test_release_execution.py,code_or_artifact_complete;required_tests_pass;contract_references_present;dependencies_accepted;pass_criteria_satisfied
M5-013,M5,Release Rollback,ACCEPTED,M5-012,src/release/rollback/service.py;tests/unit/release/test_release_execution.py,code_or_artifact_complete;required_tests_pass;contract_references_present;dependencies_accepted;pass_criteria_satisfied
M5-014,M5,Release Cancellation,ACCEPTED,M5-013,src/release/cancellation/service.py;tests/unit/release/test_release_execution.py,code_or_artifact_complete;required_tests_pass;contract_references_present;dependencies_accepted;pass_criteria_satisfied
M5-015,M5,Fleet Health Model,ACCEPTED,M5-014,src/operations/health/models.py;src/operations/health/fleet_health.py;tests/unit/operations/test_health_models.py,code_or_artifact_complete;required_tests_pass;contract_references_present;dependencies_accepted;pass_criteria_satisfied
M5-016,M5,Property Health Model,ACCEPTED,M5-015,src/operations/health/models.py;src/operations/health/property_health.py;tests/unit/operations/test_health_models.py,code_or_artifact_complete;required_tests_pass;contract_references_present;dependencies_accepted;pass_criteria_satisfied
M5-017,M5,Operations Read Models,ACCEPTED,M5-016,src/operations/read_models/models.py;src/operations/read_models/repository.py;database/migrations/0083_operations_health_and_integrity.sql;tests/unit/operations/test_read_models.py,code_or_artifact_complete;required_tests_pass;contract_references_present;dependencies_accepted;pass_criteria_satisfied
M5-018,M5,Reconciliation Rule Registry,ACCEPTED,M5-017,registries/reconciliation-rules/core.yaml;src/operations/reconciliation/registry.py;tests/unit/operations/test_reconciliation_registry.py,code_or_artifact_complete;required_tests_pass;contract_references_present;dependencies_accepted;pass_criteria_satisfied
